iso2,iso3,country,year,imf_url,press_release_url,status,title,pdf_path,text_path,first_snippet,notes,eba_text_path,eba_snippet,eba_status,summary_path,summary_snippet,summary_status
BE,BEL,Belgium,2025,https://www.imf.org/en/publications/cr/issues/2025/03/20/belgium-2025-article-iv-consultation-press-release-and-staff-report-565399,https://www.imf.org/en/news/articles/2025/03/19/pr25070-belgium-imf-executive-board-concludes-2025-article-iv-consultation-with-belgium,pending,,,,,,,,,data\text\BE\2025_summary.txt,"The 2025 Article IV Consultation highlights that the Belgian economy was resilient to a series of shocks, but growth has been slowing, and core inflation remains persistent. Labor productivity growth remained sluggish, and labor-cost competitiveness has declined. Successive shocks have increased structural fiscal deficits and public debt. Risks arising from deepening geoeconomic fragmentation and intensification of regional conflicts affecting energy, trade and financial spillovers could worsen the outlook. Sustained fiscal consolidation is needed to support disinflation despite upside risks, rebuild buffers, lower vulnerabilities to change in market sentiments, and address pressures from aging and the green transition. Reforms are needed to increase growth potential through higher labor force participation and productivity, and more efficient resource allocation. Priorities include increasing the income gap between work and nonwork through tax and social benefits reforms, reforming the wage-setting mechanism, and upgrading human capital formation. Sustaining the green transition requires strong commitment by and enhanced coordination among the federal and federated entities.",summary_extracted
CA,CAN,Canada,2024,https://www.imf.org/en/publications/cr/issues/2024/07/16/canada-2024-article-iv-consultation-press-release-and-staff-report-551903,,pending,,,,,,,,,data\text\CA\2024_summary.txt,"The 2024 Article IV Consultation discusses that the Canadian economy appears to have achieved a soft landing: inflation has come down almost to target, while a recession has been avoided, with gross domestic product growth cushioned by surging immigration even as per capita income has shrunk. Housing unaffordability has risen to levels not seen in a generation, with demand boosted by immigration and supply facing continued challenges to expansion. Canada’s recent introduction of quantitative fiscal objectives is welcome and could be followed by adoption of a formal fiscal framework to anchor fiscal policy even more effectively. The authorities’ multipronged approach to address housing affordability is expected to yield results over time, but further efforts will likely be needed at all levels of government to address the large housing supply gap. Boosting Canada’s lagging productivity growth—including by taking steps to promote investment and R&D, harness artificial intelligence and other advanced technologies (within appropriate guardrails), and capitalize on the green transition—is a key priority for the country’s long-term prospects. Given skills gaps and demographic pressures, immigration remains a critical ingredient.",summary_extracted
QA,QAT,Qatar,2024,https://www.imf.org/en/publications/cr/issues/2025/02/24/qatar-2024-article-iv-consultation-press-release-staff-report-and-statement-by-the-562636,,pending,,,,,,,,,data\text\QA\2024_summary.txt,"The 2024 Article IV Consultation with Qatar highlights that growth normalization after the 2022 FIFA World Cup continued with signs of activities strengthening more recently. Fiscal and external surpluses softened mainly due to lower hydrocarbon prices. Banks are healthy but pockets of vulnerabilities remain. Near-term growth is expected to strengthen gradually. The medium-term outlook is more favorable, bolstered by massive liquid natural gas production expansion and reform gains. Fiscal and external surpluses will likely remain but moderate. The authorities’ commitment to continued fiscal prudence is welcome. The currency peg continues to serve the country well. Efforts to strengthen liquidity management are welcome and should be guided by the recent IMF technical assistance. Successful Third National Development Strategy implementation requires proper reform prioritization and inter-agency coordination.",summary_extracted
UY,URY,Uruguay,2025,https://www.imf.org/en/publications/cr/issues/2025/10/30/uruguay-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-571423,,pending,,,,,,,,,data\text\UY\2025_summary.txt,"After a severe drought in 2023, Uruguay’s economy rebounded strongly in 2024 driven by a surge in agricultural exports. A new administration led by president Yamandú Orsi took office in March 2025, marking the return of the Frente Amplio coalition to power. The new administration’s agenda seeks to balance inclusive growth with macroeconomic stability, boosting private investment and strengthening social protection.",summary_extracted
TO,TON,Tonga,2025,https://www.imf.org/en/publications/cr/issues/2025/11/07/tonga-2025-article-iv-consultation-press-release-and-staff-report-571692,,pending,,,,,,,,,data\text\TO\2025_summary.txt,"Tonga’s economy is expanding steadily, driven by stronger-than-expected grant inflows, elevated remittances, a rebound in tourism, and fiscal support for the reconstruction. Headline inflation has declined below the reference rate, driven by lower food and energy prices, but core inflation has picked up, reflecting stronger domestic demand. Risks in the banking sector remain contained but have increased and require continued vigilance. Meanwhile, Tonga continues to face significant structural challenges including geographic remoteness, a small and dispersed population, and high vulnerability to natural disasters. This persistent vulnerability discourages investment and incentivizes emigration, weighing on long-term growth prospects and requiring policies and reforms to enhance resilience and growth potential, particularly in a global environment marred by heightened policy uncertainty.",summary_extracted
MN,MNG,Mongolia,2025,https://www.imf.org/en/publications/cr/issues/2025/09/15/mongolia-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-570413,https://www.imf.org/en/news/articles/2025/09/15/pr-25298-mongolia-imf-executive-board-concludes-2025-article-iv-consultation,pending,,,,,,,,,data\text\MN\2025_summary.txt,"The resource boom is weakening and downside risks to the outlook are rising. In 2023-24, record-high coal exports and robust household and government spending led to buoyant economic activity which, along with fiscal surpluses and successful external debt rollovers, helped reduce vulnerabilities. However, the highly expansionary fiscal policy, which, combined with the policy rate cuts in 2024, also fueled rapid credit growth despite tighter reserve requirements, a surge in imports, a widening current account deficit, and inflation above the Bank of Mongolia (BOM)’s target band. With coal exports declining in 2025H1, mainly due to falling prices and increased global uncertainty, the near-term outlook has become less favorable, and downside risks have increased amid limited policy buffers. The new government, formed in June 2025, has signaled its commitment to policy continuity.",summary_extracted
LR,LBR,Liberia,2025,https://www.imf.org/en/publications/cr/issues/2025/11/07/liberia-2025-article-iv-consultation-and-second-review-under-the-extended-credit-facility-571594,,pending,,,,,Summary heading not found | Summary heading not found,,,,,,summary_missing
ST,STP,São Tomé and Príncipe,2023,https://www.imf.org/en/publications/cr/issues/2025/08/08/democratic-republic-of-so-tom-and-prncipe-2025-article-iv-consultation-first-review-under-569490,,pending,,,,,,,,,data\text\ST\2023_summary.txt,"This paper presents Democratic Republic of São Tomé and Príncipe’s 2025 Article IV Consultation, First Review under the Extended Credit Facility Arrangement, Request for Waivers of Nonobservance of Performance Criteria, Modification of Performance Criteria, and Financing Assurances Review. Performance under the ECF Arrangement has been satisfactory with respect to the quantitative targets, with eight of the ten end-December 2024 quantitative performance criteria being met. São Tomé and Príncipe’s economy is gradually recovering from recent shocks. Gross domestic product growth strengthened to 1.1 percent in 2024 and is projected to accelerate to 2.9 percent in 2025 and 4.7 percent in 2026, remaining robust over the medium term. Accelerating the implementation of structural reforms is an imperative to enhance the export base and promote job-rich, inclusive growth. Important measures include addressing bottlenecks to private sector development and expanding air transport connectivity to stimulate tourism expansion. The authorities are also focused on enhancing resilience to climate-related shocks and accelerating initiatives that promote women’s economic empowerment.",summary_extracted
JP,JPN,Japan,2025,https://www.imf.org/en/Publications/CR/Issues/2025/04/01/Japan-2025-Article-IV-Consultation-Press-Release-Staff-Report-and-Statement-by-the-565846,,pending,,,,,,,,,data\text\JP\2025_summary.txt,"The 2025 Article IV Consultation highlights that after three decades of near-zero inflation, signs are growing that Japan’s economy is reaching a new equilibrium with inflation sustained at the Bank of Japan’s two percent headline inflation target. However, Japan continues to face challenges, including from its aging population and high public debt. Growth is expected to accelerate in 2025 and converge to its potential of 0.5 percent in the medium term. Policy priorities are to rebuild fiscal buffers, re-anchor inflation expectations, and advance structural reforms to support potential growth. Public debt is high and is expected to rise from 2030, driven by a higher interest bill and expenditure pressures related to spending on health and long-term care for an aging population. The monetary policy stance is appropriately accommodative and should help ensure inflation expectations rise sustainably to the 2-percent inflation target. Advancing structural reforms, including improving labor mobility, would help improve Japan’s allocative efficiency and boost productivity.",summary_extracted
DZ,DZA,Algeria,2025,https://www.imf.org/en/publications/cr/issues/2025/09/18/algeria-2025-article-iv-consultation-press-release-and-staff-report-570472,,pending,,,,,,,,,data\text\DZ\2025_summary.txt,"Since the pandemic, the Algerian economy has rebounded, driven by high hydrocarbon prices and public spending, especially ahead of the 2024 presidential election. Nonetheless, the economy remains vulnerable to its overreliance on hydrocarbons, exposing public finances to global price volatility. President Tebboune’s re-election in 2024 signals continued fiscal expansion to support households and investment, aligned with the 2021 Government Action Plan’s goals of diversification and sustainability. However, Algeria’s state-led, hydrocarbon-dependent model creates economic distortions that constrain private sector growth and job creation. Long-term resilience and inclusive growth will require deep structural reforms to shift toward a more open, private-sector-driven economy. Recent efforts to diversify and attract investment are positive steps, but realizing Algeria’s potential will require bold action to address governance, competitiveness, and fiscal sustainability challenges.",summary_extracted
LS,LSO,Lesotho,2025,https://www.imf.org/en/publications/cr/issues/2025/09/17/kingdom-of-lesotho-2025-article-iv-consultation-press-release-and-staff-report-570457,,pending,,,,,,,,,data\text\LS\2025_summary.txt,"Lesotho has long struggled with low growth, high unemployment, and widespread poverty. The country’s government-led growth model has resulted in an economy heavily reliant on inefficient public spending, with a small and undiversified private sector that has been stifled by restrictive regulations and lack of access to finance. This has led to low private investment, declining competitiveness, and high informality. In office for almost three years, the government’s fragile coalition has struggled to pass any meaningful reform through Parliament.",summary_extracted
LT,LTU,Lithuania,2025,https://www.imf.org/en/publications/cr/issues/2025/09/16/republic-of-lithuania-2025-article-iv-consultation-press-release-staff-report-and-statement-570361,,pending,,,,,,,,,data\text\LT\2025_summary.txt,"Lithuania’s economy has proven resilient to multiple shocks in recent years and grew strongly in 2024. However, new challenges are emerging and long-standing issues still require attention. Defense spending is high and set to rise further, adding to other existing long-term spending pressures including from pensions. Income convergence with other euro area countries has been stalling lately while productivity growth remains weak. The global economic environment remains highly uncertain.",summary_extracted
TV,TUV,https://www.imf.org/en/publications/cr/issues/2025/09/12/tuvalu-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-570252,2025,,,pending,,,,, | Missing imf_url | Missing imf_url,,,,,,summary_error
ML,MLI,Mali,2025,https://www.imf.org/en/publications/cr/issues/2025/09/10/mali-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-executive-570204,,pending,,,,,,,,,data\text\ML\2025_summary.txt,"Mali faced another difficult year in 2024: persistent security attacks, protracted power outages, food insecurity, and catastrophic floods—prompting Fund support under the Rapid Credit Facility (RCF) and a Staff-Monitored Program (SMP) in April 2025. Although the Financial Action Task Force (FATF) has now removed Mali from its grey list, investors still see high policy uncertainty around the implementation of the 2023 mining code reforms, post-ECOWAS exit arrangements, and the suspension of political parties and elections. Adding to the strain, the country’s largest gold mine shut in January 2025 over a tax dispute tied to the new mining code; operations have recently been placed under a six-month court-appointed administrator, but the timing of a full restart—and the return of critical mining revenues—remains unclear.",summary_extracted
LV,LVA,Latvia,2025,https://www.imf.org/en/publications/cr/issues/2025/09/18/republic-of-latvia-2025-article-iv-consultation-press-release-staff-report-and-statement-by-570482,,pending,,,,,,,,,data\text\LV\2025_summary.txt,"Latvia’s successful convergence to euro area income levels has slowed. GDP per capita has fallen behind, including relative to other Baltic states, due to weak total factor productivity and limited capital deepening since the global financial crisis. Additional pressures include rising labor costs, demographic decline, and geopolitical tensions. Although unemployment remains low and inflation has eased, the economy remains vulnerable to external shocks. At the same time, the government faces growing fiscal demands from pensions, health care, defense, energy security, and climate transition, requiring preserved fiscal space for future crises.",summary_extracted
NR,NRU,Nauru,2025,https://www.imf.org/en/publications/cr/issues/2025/09/19/republic-of-nauru-2025-article-iv-consultation-press-release-staff-report-and-statement-by-570609,,pending,,,,,,,,,data\text\NR\2025_summary.txt,"Constrained by structural challenges stemming from its remote location and small landmass, Nauru's economy has registered low and volatile growth and is heavily reliant on imports and foreign support, making it susceptible to external shocks, particularly in a global environment with heightened trade policy uncertainty. The growth outlook has improved, supported by the anticipated pickup of regional processing center (RPC) operations and sustained donor support. Risks to the growth outlook are tilted to the downside, driven by a global slowdown and potential decline in donor support induced by deepening geoeconomic fragmentation and policy uncertainty. Inflation is expected to moderate, though it could stay protractedly high owing to rising wage growth in the public sector.",summary_extracted
SZ,SWZ,Eswatini,2025,https://www.imf.org/en/publications/cr/issues/2025/09/26/kingdom-of-eswatini-2025-article-iv-consultation-press-release-staff-report-and-statement-570739,,pending,,,,,,,,,data\text\SZ\2025_summary.txt,"Eswatini’s economy expanded by 2.8 percent in 2024, driven by manufacturing and services, while a severe drought kept agricultural output flat. The country faces pressing needs to close critical gaps in infrastructure and address high unemployment (34 percent; 58 percent among youth) and high income inequality. While health and education spending exceed that of peers, outcomes are worse, indicating spending inefficiencies. A significant skill mismatch also constrains growth. The fiscal deficit was 1.3 percent of GDP in FY24/25, while SACU revenue was 3.9 percent of GDP above the historical average. Public debt is moderate at just under 40 percent of GDP; however, it more than doubled during 2014–2020, contributing to ongoing fiscal pressures and rising debt service costs. Looking ahead, SACU revenues are expected to decline significantly relative to the past two years, which could further strain the fiscal outlook. The authorities plan to consolidate over the medium-term to contain public debt to about 40 percent of GDP over the medium term. Eswatini’s international reserves, at about 87 percent of the IMF’s Assessing Reserve Adequacy (ARA) metric at end-2024, are below the recommended level. Banks are well capitalized and liquid; however, the non-performing loan (NPL) ratio remains elevated.",summary_extracted
TL,TLS,Timor-Leste,2025,https://www.imf.org/en/publications/cr/issues/2025/09/25/democratic-republic-of-timor-leste-2025-article-iv-consultation-press-release-staff-report-570720,,pending,,,,,,,,,data\text\TL\2025_summary.txt,"Timor-Leste’s financial buffers and favorable demographics provide an opportunity to develop its economy. Despite impressive progress since independence, the economy remains under-diversified, while fiscal and external imbalances are large. The Petroleum Fund’s (PF) balance stood at 939 percent of non-oil GDP in 2024, making Timor-Leste’s Net Foreign Asset position one of the highest in the world as a share of the domestic economy. But oil and gas production has ceased and large withdrawals from the PF to finance fiscal deficits, should they continue, would lead to its full depletion by the end of the 2030s. Timor-Leste has one of the youngest populations in the Asia-Pacific region, holding promise for future growth.",summary_extracted
CH,CHE,Switzerland,2025,https://www.imf.org/en/publications/cr/issues/2025/09/16/switzerland-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-570376,,pending,,,,,,,,,data\text\CH\2025_summary.txt,"Switzerland remains highly resilient, supported by strong institutions, prudent policies, and a skilled labor force. However, global uncertainty, trade fragmentation, and persistent safe-haven flows have increased economic pressures. After slowing in 2024, growth picked up in early 2025 including due to front-loaded exports, but momentum remains tepid. Inflation has fallen to near zero despite policy easing by the Swiss National Bank (SNB). U.S. tariffs to Swiss goods were raised to 39 percent (excluding, inter alia, pharmaceuticals and gold) in August 2025.",summary_extracted
GT,GTM,Guatemala,2025,https://www.imf.org/en/publications/cr/issues/2025/09/12/guatemala-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-570287,,pending,,,,,,,,,data\text\GT\2025_summary.txt,"Prudent macroeconomic management has supported a resilient economy, achieved low inflation, ample policy buffers and, for the last few years, a positive current account. Yet, more is needed to lift growth and reduce poverty. The political environment remains challenging as the standoff between the administration and the Attorney General has continued with no signs of easing, but a string of positive legislative surprises has raised near-term optimism. In a global environment marked by more restrictive trade and migration, policies will need to adapt to a new reality of changing trade patterns, lower remittances and lower net emigration.",summary_extracted
KG,KGZ,Kyrgyz Republic,2025,https://www.imf.org/en/publications/cr/issues/2025/06/04/kyrgyz-republic-2025-article-iv-consultation-press-release-and-staff-report-567394,,pending,,,,,,,,,data\text\KG\2025_summary.txt,"The 2025 Article IV Consultation discusses that the Kyrgyz Republic has shown strong economic performance despite global uncertainties with robust growth, stabilizing inflation, and declining public debt. Growth is expected to gradually moderate as external trade normalizes and domestic demand slows, while inflation remains stable with continued prudent monetary policy. In view of the heightened global uncertainty, medium term priorities include rebuilding policy buffers and advancing structural reforms to strengthen economy’s resilience to shocks and support higher and more inclusive growth. Strong revenue performance and a prudent fiscal stance coupled with high gross domestic product growth have contained public debt. In order to further strengthen fiscal sustainability and create fiscal space for large development needs, the authorities should enhance tax policy by reducing tax exemptions and special tax regimes, increasing progressivity of the Personal Income Tax, and further strengthening revenue administration. Sustaining macroeconomic stability and strengthening inclusive growth will require rebuilding policy buffers, enhancing fiscal sustainability, safeguarding monetary policy independence, and advancing structural reforms to boost productivity.",summary_extracted
CY,CYP,Cyprus,2025,https://www.imf.org/en/publications/cr/issues/2025/06/02/cyprus-2025-article-iv-consultation-press-release-and-staff-report-567389,,pending,,,,,,,,,data\text\CY\2025_summary.txt,"The 2025 Article IV Consultation highlights that growth is expected to decelerate to 2.5 percent in 2025 and stabilize at 3 percent in the medium term as Cyprus shifts toward more investment-driven growth. The immediate outlook presents downside risks, while longer-term risks appear more balanced. An escalation of trade conflicts—particularly if this broadened to include services trade and foreign direct investment—poses an important downside risk. The fiscal surplus reached an impressive 4.3 percent of gross domestic product (GDP) in 2024, while public debt declined to 65 percent of GDP. Fiscal policy should continue to prioritize debt reduction to further build buffers against potential shocks. The banking sector boasts substantial capital and liquidity buffers, with financial risks appearing well contained. The recent tightening of the macroprudential policy stance will further enhance these financial buffers. Fiscal policy should continue to prioritize debt reduction. Given overheating risks, it is crucial to avoid new discretionary measures that would ease fiscal policy and add to inflationary pressures. Structural reforms aimed at enhancing judicial efficiency and boosting labor productivity are vital for fostering long-term growth. With employment levels already high, capital deepening will increasingly drive growth.",summary_extracted
BO,BOL,Bolivia,2025,https://www.imf.org/en/publications/cr/issues/2025/06/02/bolivia-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-567384,,pending,,,,,,,,,data\text\BO\2025_summary.txt,"The 2025 Article IV Consultation discusses that Bolivia's real gross domestic product growth has moderated to 2.1 percent in the first three quarters of 2024, driven by a decline in hydrocarbons production, a slowdown in services activity, and a drop in soy crops and related manufacturing due to “El Niño” effects. The macro-economic outlook under current policies is unsustainable, and the risks of a balance of payments and fiscal crisis are rising. Usable foreign exchange reserves are expected to remain close to zero—even if the central bank is able to liquefy its remaining gold reserves through collateralized borrowing, as envisaged in the 2025 budget—and a range of potential external or domestic shocks could trigger capital outflows, a faster depreciation of the parallel exchange rate, higher inflation, reduced growth and, ultimately, a disorderly adjustment. At the core of any policy plan must be a credible, multi-year fiscal consolidation. This will require a phase out of fuel subsidies, a lower wage bill, and a rationalization of capital spending. Urgent efforts are needed to remove supply-side constraints to growth, lessen informality, strengthen governance and regulatory frameworks, improve public investment management, and foster competitiveness.",summary_extracted
NZ,NZL,New Zealand,2025,https://www.imf.org/en/publications/cr/issues/2025/05/23/new-zealand-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-567168,,pending,,,,,,,,,data\text\NZ\2025_summary.txt,"The 2025 Article IV Consultation with New Zealand discusses that tight monetary policy has helped bring inflation back to target after a prolonged period of elevated price pressures, but at the expense of growth. A nascent recovery is underway as monetary policy is easing again. House prices have stabilized, and financial sector risks are contained. is expected to remain within the target band, and current account normalization is set to continue. Risks to the outlook are to the downside, weighing New Zealand’s exposure to trade policy and investment shocks against the potential for stronger monetary policy passthrough. The financial system is resilient with well-capitalized banks, and the ongoing modernization of the regulatory framework should continue. Financial stability considerations should take precedence when determining prudential settings. Structural policies remain a first order priority to address persistently low productivity growth and housing supply constraints. Reforms to improve competition, broaden available sources of funding for businesses, and reduce infrastructure gaps are critical for securing sustainable long-term growth.",summary_extracted
ES,ESP,Spain,2024,https://www.imf.org/en/publications/cr/issues/2025/06/05/spain-2025-article-iv-consultation-press-release-and-staff-report-567439,,pending,,,,,,,,,data\text\ES\2024_summary.txt,"The 2025 Article IV Consultation highlights that the Spanish economy has been performing strongly, supported by services exports and labor force growth. Growth is expected to remain significantly above the euro area average in the near term, before slowing gradually as its recent drivers normalize and demographic aging intensifies. Most risks are to the downside, including from a further escalation of trade measures and domestic political fragmentation. The authorities should seize the growth momentum to more swiftly rebuild fiscal space and reduce sovereign debt risks through a clearer consolidation strategy grounded in well identified tax increase and spending reduction priorities. Additional measures should also be taken to address fiscal pressures from rising future pension expenditures, and to improve the pension system’s safeguard clause. Raising productivity is key to boosting income per capita gains, which have been modest since the pandemic. This should be achieved through a new wave of reforms to facilitate firms’ scaling-up and strengthen innovation.",summary_extracted
LU,LUX,Luxembourg,2024,https://www.imf.org/en/publications/cr/issues/2025/06/04/luxembourg-2025-article-iv-consultation-press-release-and-staff-report-567449,,pending,,,,,,,,,data\text\LU\2024_summary.txt,"The 2025 Article IV Consultation discusses that Luxembourg’s fundamentals remain strong and economic recovery is projected to slowly gain pace amidst external headwinds. An economic recovery is projected to slowly gain pace amidst external headwinds. Downside risks prevail in the short term. Surprising on the upside, the fiscal balance improved to a surplus of 1 percent of gross domestic product in 2024, boosted by one-off revenues. Given structurally high revenue volatility, prudent fiscal policy should be based on a more efficient use of fiscal space. The financial sector is resilient, with well-capitalized and liquid banks. While the risks are manageable, the housing market, and other pockets of vulnerabilities should continue to be closely monitored. Structural reforms are needed to boost private sector-led growth and sustain living standards. Wage indexation has become a key constraint on competitiveness, and more labor market flexibility is called for. The authorities should also aim at boosting productivity and containing the cost of living by streamlining the regulatory and administrative burden, removing barriers to entry in some sectors, and addressing housing and infrastructure supply bottlenecks.",summary_extracted
GW,GNB,Guinea-Bissau,2025,https://www.imf.org/en/publications/cr/issues/2025/07/07/guinea-bissau-2025-article-iv-consultation-eighth-review-under-the-extended-credit-facility-568357,,pending,,,,,,,,,data\text\GW\2025_summary.txt,"Since the last Article IV of June 2022, economic growth has been resilient and the authorities have made significant progress in infrastructure development. The economic outlook for 2025 is positive supported by high international prices of cashew nuts and strong public and private investments. However, risks are on the downside and the country remains at high risk of debt distress. The presidential and legislative elections are scheduled for November 23, 2025, and the social situation remains relatively calm. Direct effects to Guinea Bissau from the elevated global trade uncertainty are relatively low, as prices of cashew nuts, which account for over 90 percent of exports, have so far not been adversely affected by recent global events and the country is benefiting from lower global fuel prices.",summary_extracted
DK,DNK,Denmark,2025,https://www.imf.org/en/publications/cr/issues/2025/07/03/denmark-2025-article-iv-consultation-press-release-and-staff-report-568286,,pending,,,,,,,,,data\text\DK\2025_summary.txt,"Strong growth has continued, primarily driven by the expansion of pharmaceutical exports, while domestic demand has been relatively sluggish. Inflation has remained below 2 percent. Public finances and external positions are robust, and the financial system has demonstrated resilience to multiple shocks in recent years. Staff expects growth to moderate in the near term as external demand weakens, and the exceptional pharmaceutical expansion begins to normalize. While direct impacts from U.S. tariffs are expected to be limited, the escalated global trade tensions pose risks to the outlook. In response to increasing geopolitical tensions, early in 2025, the government announced a substantial increase in defense spending.",summary_extracted
TZ,TZA,Tanzania,2025,https://www.imf.org/en/publications/cr/issues/2025/07/03/united-republic-of-tanzania-staff-report-for-the-2025-article-iv-consultation-fifth-review-568276,,pending,,,,,,,,,data\text\TZ\2025_summary.txt,"Economic conditions have continued to improve, with robust growth and macrofinancial stability underpinned by prudent macroeconomic management. The medium-term outlook is favorable, contingent on sustained reform implementation, in particular to strengthen the business environment and support a more dynamic private sector. However, downside risks remain, including from an uncertain external environment or reform delays. Challenges to meet SDG targets and reduce poverty are daunting, especially considering that the population size is expected to double by 2050.",summary_extracted
AT,AUT,Austria,2025,https://www.imf.org/en/publications/cr/issues/2025/07/02/austria-2025-article-iv-consultation-press-release-and-staff-report-568230,,pending,,,,,,,,,data\text\AT\2025_summary.txt,"The Austrian economy faces a challenging environment following two successive years of recession. Adverse shocks from high energy prices and the rapid rise in interest rates to curtail subsequent inflation have dragged down domestic and external demand, as have heightened uncertainty and weak sentiment. The downturn in activity has been especially significant in manufacturing, construction, and some services. Despite weak demand, core inflation has been persistent due in part to rapid wage growth. And while strong policy responses helped to cushion the impact of recent shocks, the fiscal deficit and public debt have risen significantly from pre-pandemic levels. Over the medium term, weak productivity and demographic aging pose significant growth and fiscal headwinds. At the same time, Austria retains strong institutions that equip it to deal with these challenges.",summary_extracted
NG,NGA,Nigeria,2025,https://www.imf.org/en/publications/cr/issues/2025/07/01/nigeria-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-568220,,pending,,,,,,,,,data\text\NG\2025_summary.txt,"Nigeria has implemented major reforms over the last 2 years which have improved macroeconomic stability and enhanced resilience. The country successfully tapped the Eurobond market and earned a credit rating upgrade, pointing to improved confidence. Growth has been steady but too low in per-capita terms, and inflation remains high. Gains have yet to benefit all Nigerians. Food insecurity and poverty have risen. Half-way through its term, the government is now focused on raising growth, while adapting to the spillovers from the changing global environment.",summary_extracted
JM,JAM,Jamaica,2024,https://www.imf.org/en/publications/cr/issues/2025/06/25/jamaica-2025-article-iv-consultation-press-release-and-staff-report-567997,,pending,,,,,,,,,data\text\JM\2024_summary.txt,"The 2025 Article IV Consultation highlights that over the last decade, Jamaica has established an enviable track record of investing in institutions and prioritizing macroeconomic stability which allowed it meet recent shocks and natural disasters in an agile, prudent, and growth-supportive manner. The continued reforms will increase resilience to future shocks and natural disasters. They need to combine with a multipronged approach to overcome supply-side constraints to growth in support of growth. A multipronged approach is required to overcome supply-side constraints to growth. Current policies have strengthened Jamaica’s resilience to adverse shocks (as evidenced by the impact of the Beryl/Raphael storms). Policy reforms to bolster the credibility and efficiency of Jamaica’s fiscal and monetary policy frameworks, strengthen financial stability, and support growth would deepen this resilience. Such reforms include adoption of an operational debt anchor, improving effectiveness of monetary transmission mechanism, deepening and developing of foreign exchange markets and advancing the reforms for financial stability. Low productivity resulting from the misallocation of resources is amplified by structural impediments including high crime, barriers to competition, poor educational outcomes, inadequate infrastructure, and barriers to trade.",summary_extracted
MU,MUS,Mauritius,2024,https://www.imf.org/en/publications/cr/issues/2025/06/18/mauritius-2025-article-iv-consultation-press-release-and-staff-report-567835,,pending,,,,,,,,,data\text\MU\2024_summary.txt,"The 2025 Article IV Consultation highlights that the Mauritian economy continues to exhibit resilience with growth at 4.7 percent in 2024 and contained inflation. The growth outlook remains favorable, though risks are to the downside. Mauritius needs to recalibrate the macroeconomic policy mix to rebuild fiscal space. Fiscal policy should pursue frontloaded growth-friendly consolidation to shore up fiscal credibility, helping rebuild fiscal space while protecting the most vulnerable. Mauritius’ external position at end-2024 is assessed as weaker than the level implied by fundamentals and desirable policies, and structural reforms to foster external competitiveness are needed to reduce external imbalances. The monetary policy framework needs to be strengthened while continued monitoring of macro-financial risks is essential to maintain financial stability. Priorities include strengthening workers’ skills through better education and narrowing gender gaps as well as advancing climate adaptation efforts to support economic resilience.",summary_extracted
VN,VNM,Vietnam,2024,https://www.imf.org/en/publications/cr/issues/2025/10/03/vietnam-2025-article-iv-consultation-press-release-staff-report-and-statement-by-the-570895,,pending,,,,,,,,,data\text\VN\2024_summary.txt,"Growth accelerated in 2024 supported by a rebound in exports and accommodative policies. However, the successful export-led growth model faces significant new challenges from a more adverse and uncertain global trade environment. The authorities are undertaking a major institutional restructuring, and planning reforms and scaling-up public investment to boost medium-term growth.",summary_extracted
ZM,ZMB,Zambia,2025,https://www.imf.org/en/publications/cr/issues/2025/08/05/zambia-2025-article-iv-consultation-fifth-review-under-the-extended-credit-facility-569341,,pending,,,,,,,,,data\text\ZM\2025_summary.txt,"This paper presents Zambia’s 2025 Article IV Consultation, Fifth Review under the Extended Credit Facility Arrangement, and Financing Assurances Review. Program performance has remained broadly satisfactory. All end-December 2024 quantitative performance criteria and most indicative targets for end-March 2025 were met. Six out of fourteen structural benchmarks were met for this review, and four were completed with delays. With the effects of the historic drought receding, Zambia’s economic outlook remains positive. Real gross domestic product (GDP) growth is estimated at 4 percent in 2024, underpinned by stronger mining and services performance as electricity access was prioritized to productive sectors. Real GDP growth in 2025 is projected at 5.8 percent on the back of continued recovery in agricultural production in the wake of the drought and continued strong performance in mining and services. The authorities remain committed to maintaining macroeconomic stability, sustaining social spending, and restoring fiscal and debt sustainability, while advancing structural and governance reforms to foster growth.",summary_extracted
